title,text,label
"NASA James Webb Space Telescope Observes Distant Star Formation","Astronomers utilizing the James Webb Space Telescope have captured unprecedented infrared observations of star-forming regions in the nearby NGC 346 cluster. According to peer-reviewed findings published this week in the Astrophysical Journal, the spectroscopic data confirms molecular hydrogen density variations consistent with theoretical models of stellar nurseries. Dr. Elena Vance, lead astrophysicist at the Goddard Space Flight Center, stated that the observations provide critical calibration measurements for understanding galactic evolution during the cosmic noon epoch. Further telemetry and calibration data have been archived at the Space Telescope Science Institute for open academic inquiry.","REAL"
"Secret Alien Mothership Detected Behind the Moon by Military Whistleblower","ANONYMOUS PENTAGON OFFICIALS HAVE LEAKED SHOCKING CLASSIFIED FOOTAGE! A massive alien mothership over five miles wide is hovering in lunar orbit completely concealed from civilian telescopes using cloaking technology! The mainstream media and shadow government are desperately attempting to scrub this unbelievable truth from the internet! Insiders confirm that world leaders signed a secret treaty allowing deep-state extraction operations in exchange for zero-point energy weapons! Share this before the global elites delete it forever! You will never look at the night sky the same way again!","FAKE"
"Federal Reserve Holds Benchmark Interest Rates Steady at Policy Meeting","The Federal Reserve announced on Wednesday that its Federal Open Market Committee decided to maintain the benchmark federal funds rate in a target range of 5.25% to 5.50%. In an official statement following the two-day monetary policy meeting, officials noted that economic activity continued to expand at a solid pace, with job gains remaining strong and inflation easing over the past year while remaining somewhat elevated. Fed Chair Jerome Powell reiterated during the subsequent press briefing that central bankers will evaluate incoming macroeconomic data, evolving financial conditions, and labor market resilience before considering any future adjustments to monetary easing.","REAL"
"Miracle Herb Cures All Forms of Diabetes in Just 48 Hours Doctors Banned It","Big Pharma is furious because a retired doctor discovered an ancient Himalayan root that obliterates high blood sugar and reverses type 2 diabetes overnight! Corrupt medical institutions and pharmaceutical billionaires have spent millions silencing this natural remedy to protect their insulin monopoly profits! Thousands of patients have thrown away their medication after drinking this sacred tea for two days! Do not let doctors keep you enslaved to toxic prescription pills! Watch the censored video now before federal agents raid the herbalist warehouse!","FAKE"
"European Union Reaches Provisional Agreement on Landmark AI Regulation Act","Negotiators from the European Parliament and Council reached a provisional political compromise early Friday on comprehensive rules governing artificial intelligence applications across member states. The legislative framework, known as the EU Artificial Intelligence Act, introduces risk-tiered compliance obligations for high-impact foundational models and strictly prohibits biometric surveillance in public spaces with narrowly tailored national security exemptions. European Commissioner for Internal Market Thierry Breton confirmed that the finalized text will be submitted to the Committee of Permanent Representatives for formal ratification in the coming weeks.","REAL"
"Microchips Discovered Inside Bottled Spring Water by Independent Researchers","TERRIFYING DISCOVERY EXPOSED! Independent laboratory whistleblower tests have revealed self-assembling nano-circuits and microchips swimming inside leading brands of bottled drinking water! Scientists who tried to publish the electromagnetic frequency scans were abruptly fired and their laboratories seized under military orders! Globalist technocrats are using tap and bottled water supplies to synchronize brainwave patterns with 5G cellular communication towers! Stop drinking store water immediately and share this emergency warning with your family!","FAKE"
"World Health Organization Reports Decline in Global Tuberculosis Mortality","Global mortality attributed to tuberculosis declined by approximately 5% over the past fiscal year, according to the annual surveillance report released by the World Health Organization in Geneva. The agency noted that expanded deployment of rapid diagnostic molecular assays and strengthened community healthcare networks contributed significantly to earlier intervention and improved treatment adherence. Despite this positive trajectory, WHO Director-General Tedros Adhanom Ghebreyesus emphasized that sustained international funding remains imperative to meet the milestone targets set forth in the End TB Strategy.","REAL"
"Ancient Pyramid Excavated Under Antarctic Ice Confirms Pre-Human Civilization","EXPLOSIVE LEAK FROM SOUTH POLE! Declassified satellite radar imaging has confirmed a massive 12,000-year-old geometric pyramid buried two miles beneath the Antarctic ice sheet! Geologists and archaeologists who ventured inside report glowing crystalline hieroglyphs and advanced anti-gravity mechanisms built by extraterrestrial ancient builders! The Antarctic Treaty was secretly created to prevent private citizens from discovering that humans are not native to planet Earth! Check out the suppressed aerial photos here!","FAKE"
"Renewable Energy Accounted for 30 Percent of Global Electricity in 2023","Clean energy generation reached an unprecedented benchmark in 2023, with renewable sources comprising over 30 percent of total global electricity production, according to data published by the International Energy Agency. The growth was primarily propelled by substantial solar photovoltaic and wind capacity additions across China, the European Union, and North America. Analysts observed that while grid transmission bottlenecks remain a logistical challenge, capital investment in utility-scale battery storage grew by more than 40 percent year-over-year.","REAL"
"Drinking Boiling Lemon Water Guaranteed to Burn 40 Pounds of Pure Belly Fat Overnight","Celebrity fitness trainers are stunned by this weird pantry trick that melts away stubborn abdominal fat while you sleep! No exercise, no diet, and no effort required—just squeeze three lemons into boiling distilled water and watch your metabolism multiply by 800 percent! Top cardiologists tried to ban this Japanese military secret because weight loss supplement companies are losing billions of dollars! Read the full secret recipe before it is taken down by corporate censors!","FAKE"
"Cybersecurity Agency Issues Advisory on Critical Zero-Day Vulnerability","The Cybersecurity and Infrastructure Security Agency (CISA) issued an urgent operational directive on Tuesday urging enterprise administrators to patch a critical remote code execution vulnerability impacting enterprise VPN appliances. The vulnerability, tracked under CVE-2024-21887, carries a CVSS severity rating of 9.8 and allows unauthenticated threat actors to execute arbitrary commands over network interfaces. Technical remediation guidelines and network indicators of compromise have been made publicly accessible via the National Vulnerability Database.","REAL"
"Secret 5G Tower Transmitters Activated to Broadcast Mind Control Frequencies","URGENT WARNING: Declassified electromagnetic documents confirm that newly installed 5G utility poles are secretly emitting sub-audible infrasound frequencies designed to induce compliance and lethargy in surrounding residential populations! Telecommunications executives were caught on hidden camera admitting that the wireless cellular upgrade had nothing to do with internet download speeds! Protect your home with specialized aluminum shielding fabric before the final frequency sweep begins this weekend!","FAKE"
"Researchers Synthesize Biodegradable Plastic Alternative from Agricultural Waste","Chemical engineers at the Massachusetts Institute of Technology have engineered a novel biopolymer synthesized from cellulose derived from agricultural sugarcane remnants. Laboratory testing published in Nature Materials demonstrates that the composite material exhibits tensile strength and thermal stability comparable to conventional polyethylene terephthalate (PET), while achieving 98 percent biodegradation in standard composting conditions within 180 days without leaving microplastic residues.","REAL"
"Billionaire Cult Caught Conducting Occult Rituals in Subterranean Tunnels","SHOCKING UNDERCOVER FOOTAGE! An anonymous security guard has leaked chilling night-vision footage proving that multinational corporate CEOs and political figures gather beneath a Swiss chalet every solstice to conduct bizarre occult ceremonies! Whistleblowers report human sacrifices and arcane rituals intended to manipulate global commodity futures! The media blackout is absolute, and investigative journalists covering the story have vanished without a trace! Spread the viral truth!","FAKE"
"National Oceanic and Atmospheric Administration Deploys New Ocean Buoy Network","The National Oceanic and Atmospheric Administration (NOAA) has successfully deployed an upgraded array of deep-ocean acoustic and oceanographic data buoys across the equatorial Pacific basin. The sensory payloads record sea-surface temperature, salinity gradients, and barometric pressure in real time, delivering high-resolution telemetry to meteorological forecasting supercomputers to enhance seasonal El Niño-Southern Oscillation predictions and regional tsunami warning protocols.","REAL"
"Secret Law Signed Overnight to Confiscate All Gold and Private Savings Next Month","EMERGENCY FINANCIAL ALERT: Congressional insiders confirm that lawmakers signed a secret executive decree at 3:00 AM granting the Treasury authority to freeze civilian bank accounts and seize physical precious metals starting on the first of next month! Financial collapse is imminent, and hyperinflation will render paper currency worthless by Friday! Transfer your life savings into our recommended offshore cryptocurrency vault immediately before the banking holiday is declared!","FAKE"
"Clinical Trial Shows Positive Outcomes for Novel Immunotherapy Candidate","Results from a multi-center Phase III clinical trial published in the New England Journal of Medicine indicate that a novel bispecific antibody therapeutic significantly extended progression-free survival in patients diagnosed with advanced non-small cell lung cancer. Among 640 randomized participants, the combination therapy regimen reduced the risk of disease progression by 34 percent compared to standard platinum-based chemotherapy. Adverse effects observed during the trial were characterized by oncologists as clinically manageable.","REAL"
"Secret Weather Machine Causing Earthquakes and Hurricanes Around the World","WAKE UP PEOPLE! Satellite imagery clearly shows unnatural circular wave pulses preceding every major hurricane and earthquake this year! High-frequency military installations are manipulating ionospheric jet streams to cause intentional climate disasters and force communities into 15-minute smart prison cities! Meteorologists are paid crisis actors reading scripted radar forecasts! Share this proof before high-altitude weather planes spray toxic chemtrails over your hometown!","FAKE"
"Stock Market Indices Close Higher Following Moderate Inflation Benchmark Data","Major equity indices recorded modest gains during Thursday trading on Wall Street as consumer price index figures came in slightly below consensus forecasts. The S&P 500 advanced 0.6 percent to close at 5,062 points, while the tech-heavy Nasdaq Composite rose 0.8 percent. Market strategists noted that moderation in energy and core services expenditures provided reassurance to investors concerned about sustained interest rate pressures. Trading volumes remained in line with historical moving averages.","REAL"
"Drinking Raw Turmeric with Vinegar Eliminates Cancer Cells in 7 Days Confirmed","SHOCKING MEDICAL TRUTH: A simple kitchen paste made from raw organic turmeric root and apple cider vinegar has been proven in underground trials to dissolve cancerous tumors in just seven days! Corrupt oncology clinics are terrified of this suppressed cure because chemotherapy treatments generate hundreds of thousands of dollars per patient! The American Cancer Society and FDA will not tell you about this because it costs pennies! Click here to download the secret herbal protocol before it gets censored!","FAKE"
"Supreme Court Hears Oral Arguments on Regulatory Agency Discretion","The United States Supreme Court heard oral arguments on Tuesday concerning the scope of judicial deference granted to federal administrative agencies under statutory law. The legal dispute centers on whether federal courts should continue deferring to agency interpretations of ambiguous legislative statutes, a legal standard established in the 1984 landmark decision Chevron v. Natural Resources Defense Council. Legal scholars anticipate the court will deliver a consequential opinion defining administrative law limits before the conclusion of its current term in late June.","REAL"
"Hollywood Celebrity Clones Replaced by Artificial Androids Claims Insider","A former Hollywood makeup artist has published a startling tell-all confession exposing that prominent pop stars and movie actors are being replaced by bio-synthetic clones and androids! Subtle changes in earlobe geometry and pupil dilation during live television interviews confirm that multiple public figures are non-human replicas programmed by entertainment conglomerates! The government has issued gag orders against studio technicians! See the shocking side-by-side photographic evidence!","FAKE"
"Autonomous Electric Freight Train Completes First Commercial Rail Journey","A fully autonomous battery-electric freight locomotive concluded its maiden 250-mile commercial freight run between Omaha and Kansas City on Monday. Railway transportation company officials confirmed the proprietary automated train control system operated without human intervention, maintaining scheduled velocity benchmarks while achieving an estimated 45 percent reduction in energy consumption compared to conventional diesel locomotives. Regulatory observers from the Federal Railroad Administration monitored the demonstration to assess safety parameters.","REAL"
"Secret Satellite Transmitters Causing Global Migraines and Insomnia","Are you waking up tired with throbbing headaches? It is NOT stress or lack of sleep! Top-secret military satellites in low Earth orbit are beaming pulsating 60Hz cognitive disruption signals across metropolitan zones to lower human resistance to upcoming biometric surveillance mandates! Whistleblower documents reveal that government scientists developed this frequency weapon during the Cold War! Put copper mesh over your router and windows right away before the next signal wave!","FAKE"
"Archaeological Survey Uncovers Bronze Age Settlement in Eastern Mediterranean","A joint team of archaeologists from Athens and Cambridge has discovered well-preserved architectural foundations of a Bronze Age agricultural settlement dating to approximately 1800 BCE. Excavation strata revealed intact terracotta storage amphorae, bronze agricultural implements, and linear script seal impressions indicating active maritime trade networks. Archaeological findings will be cataloged and placed on public exhibition at the Heraklion Archaeological Museum following conservation treatment.","REAL"
